Activity Description,Activity Variable_Name
Waking up,wake_up
Getting dressed,get_dressed
Brushing teeth,brush_teeth
Showering,shower
Eating breakfast,eat_breakfast
Studying and doing homework,study
Gaming (video games online games),game
Watching TV shows or movies,watch_media
Listening to music,listen_music
Cooking simple meals,cook
Eating takeout food,eat_takeout
Exercising (pushups situps etc.),exercise
Napping,nap
Texting or calling friends,communicate
Browsing social media,browse_social_media
Online shopping,shop_online
Doing laundry,do_laundry
Cleaning (occasionally),clean
Having friends over,socialize
Drinking (if of legal age),drink
Attending online classes,attend_online_class
Working on group projects,group_project
Reading for pleasure,read
Organizing backpack/materials,organize
Paying bills,pay_bills
Grocery shopping,grocery_shop
Taking out trash,take_out_trash
Setting alarms,set_alarms
Charging devices,charge_devices
Journaling or blogging,journal
Meditating or practicing mindfulness,meditate
Preparing for bed,prepare_for_bed
Going to sleep,sleep